"trajID";"REAL";"PoiPopularity";"PoiRank";"Markov";"MarkovPath";"Rank+Markov";"Rank+MarkovPath";"StructuredSVM";"PersTour";"PersTour-L"
1685;"1.0";"0.01098901098901099";"0.054945054945054944";"0.01098901098901099";"0.14285714285714285";"0.01098901098901099";"0.0989010989010989";"0.3076923076923077";"NA";"NA"
1686;"1.0";"0.047619047619047616";"0.047619047619047616";"0.23809523809523808";"0.14285714285714285";"0.14285714285714285";"0.047619047619047616";"0.2857142857142857";"0.20202020202020202";"0.047619047619047616"
1703;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"1.0";"0.3333333333333333"
1724;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.06451612903225806";"0.3333333333333333"
1769;"1.0";"0.5";"0.16666666666666666";"0.5";"0.5";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.058823529411764705";"0.16666666666666666"
1786;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"1.0";"0.3333333333333333";"0.3333333333333333"
1820;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.2222222222222222";"0.3333333333333333"
1823;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.2222222222222222";"0.3333333333333333"
1826;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333"
1827;"1.0";"0.10000000000000002";"0.10000000000000002";"0.10000000000000002";"0.10000000000000002";"0.3";"0.3";"0.3";"0.48";"0.10000000000000002"
1854;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.15384615384615383";"0.3333333333333333"
1894;"1.0";"0.21428571428571427";"0.10714285714285714";"0.03571428571428571";"0.03571428571428571";"0.10714285714285714";"0.10714285714285714";"0.17857142857142858";"0.0821917808219178";"0.10714285714285714"
1895;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.034482758620689655";"0.3333333333333333"
1906;"1.0";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.3333333333333333";"0.16666666666666666";"0.5";"0.37499999999999994";"0.16666666666666666"
1914;"1.0";"0.5";"0.5";"0.3333333333333333";"0.16666666666666666";"0.3333333333333333";"0.16666666666666666";"0.16666666666666666";"0.28571428571428575";"0.5"
1918;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.15384615384615383";"0.3333333333333333"
1921;"1.0";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.3333333333333333";"0.058823529411764705";"0.16666666666666666"
1923;"1.0";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.07407407407407407";"0.16666666666666666"
1925;"1.0";"1.0";"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.15384615384615383";"0.3333333333333333"
1935;"1.0";"0.21904761904761905";"0.2571428571428571";"0.009523809523809525";"0.2571428571428571";"0.45714285714285713";"0.3523809523809524";"0.23809523809523808";"NA";"NA"
1936;"1.0";"0.16666666666666666";"0.5";"0.16666666666666666";"0.16666666666666666";"0.5";"0.5";"0.6666666666666666";"NA";"NA"
1938;"1.0";"0.24836601307189543";"0.24183006535947713";"0.006535947712418301";"0.0718954248366013";"0.38562091503267976";"0.12418300653594772";"0.3137254901960784";"NA";"NA"
1940;"1.0";"0.14285714285714285";"0.14285714285714285";"0.3333333333333333";"0.14285714285714285";"0.5714285714285714";"0.14285714285714285";"0.19047619047619047";"0.030303030303030304";"0.047619047619047616"
1941;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333"
1956;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.06451612903225806";"0.3333333333333333"
1982;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.04166666666666667";"0.3333333333333333"
1984;"1.0";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.22222222222222224";"0.16666666666666666"
1990;"1.0";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.16666666666666666";"0.3333333333333333";"0.16666666666666666";"0.5";"0.014084507042253521";"0.5"
2005;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.024691358024691357";"0.3333333333333333"
2030;"1.0";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.15384615384615383";"0.3333333333333333"
2032;"1.0";"0.16666666666666666";"0.16666666666666666";"0.19444444444444445";"0.16666666666666666";"0.5";"0.08333333333333333";"0.1111111111111111";"0.15748031496062992";"0.1388888888888889"
2040;"1.0";"0.3333333333333333";"0.3333333333333333";"1.0";"1.0";"1.0";"1.0";"0.3333333333333333";"0.02127659574468085";"0.3333333333333333"
2042;"1.0";"0.5";"0.5";"0.5";"0.5";"0.16666666666666666";"0.16666666666666666";"0.5";"NA";"NA"
