"trajID";"REAL";"PoiPopularity";"PoiRank";"Markov";"MarkovPath";"Rank+Markov";"Rank+MarkovPath";"StructuredSVM";"PersTour";"PersTour-L"
14;"1.0";"0.3333333333333333";"0.3333333333333333";"0.5";"0.5";"0.3333333333333333";"0.3333333333333333";"0.5";"NA";"NA"
63;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.4";"0.6666666666666666"
64;"1.0";"0.5";"0.5";"0.5";"0.5";"0.75";"0.75";"0.5";"0.26666666666666666";"0.75"
78;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"1.0";"1.0";"0.6666666666666666";"0.5714285714285715";"0.6666666666666666"
129;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.28571428571428575";"0.6666666666666666"
143;"1.0";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.3333333333333333";"0.3529411764705882";"0.5"
145;"1.0";"0.375";"0.5";"0.25";"0.375";"0.375";"0.5";"0.625";"0.33333333333333326";"0.375"
147;"1.0";"0.5";"0.5";"0.75";"0.75";"0.75";"0.75";"0.75";"0.4";"0.5"
150;"1.0";"0.5";"0.5";"0.75";"0.75";"0.75";"0.75";"0.5";"0.6666666666666665";"0.75"
166;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.5";"0.6666666666666666"
191;"1.0";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.6";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.2727272727272727";"0.4000000000000001"
198;"1.0";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.26666666666666666";"0.5"
200;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.5714285714285715";"0.6666666666666666"
202;"1.0";"0.8000000000000002";"0.8000000000000002";"0.4000000000000001";"0.4000000000000001";"0.6";"0.6";"0.4000000000000001";"0.2857142857142857";"0.4000000000000001"
206;"1.0";"0.6666666666666666";"0.6666666666666666";"1.0";"1.0";"1.0";"1.0";"0.6666666666666666";"0.36363636363636365";"0.6666666666666666"
212;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.5";"0.6666666666666666"
224;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"1.0";"0.6666666666666666"
225;"1.0";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.6";"0.8000000000000002";"0.4000000000000001"
228;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.28571428571428575";"0.6666666666666666"
232;"1.0";"1.0";"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.3333333333333333";"0.6666666666666666"
241;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"1.0";"1.0";"0.6666666666666666";"0.5714285714285715";"0.6666666666666666"
245;"1.0";"0.5714285714285714";"0.7142857142857143";"0.2857142857142857";"0.2857142857142857";"0.42857142857142855";"0.42857142857142855";"0.42857142857142855";"0.4545454545454545";"0.2857142857142857"
290;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.5";"0.6666666666666666"
